N,P,K,temperature,humidity,pH,rainfall,crop,area_code
107,63,31,27.2,60.3,6.0,235.8,maize,500001
110,39,24,22.9,87.2,5.6,257.8,sugarcane,500002
65,49,56,28.0,62.7,7.2,199.7,rice,500003
79,30,51,18.5,69.6,7.1,117.4,rice,500003
33,47,78,18.6,88.5,7.5,207.4,maize,500001
31,44,74,32.0,88.5,7.5,217.4,rice,500002
35,58,28,24.1,77.2,6.6,249.1,maize,500001
83,52,60,20.2,79.0,7.0,186.3,sugarcane,500001
33,20,54,26.9,73.5,7.4,125.5,sugarcane,500002
83,46,38,31.1,68.8,7.2,156.8,coffee,500002
122,32,67,21.7,69.9,6.0,172.6,sugarcane,500002
92,60,35,28.6,80.2,6.4,229.2,maize,500003
47,22,22,19.5,82.6,5.8,214.2,sugarcane,500001
119,58,39,18.9,83.7,7.4,171.2,coffee,500001
73,25,43,27.0,83.7,6.7,297.3,rice,500003
63,27,73,27.2,62.7,6.0,221.2,maize,500002
103,46,75,28.8,74.8,6.8,147.4,rice,500003
91,28,52,30.3,61.7,6.7,120.4,coffee,500003
129,56,43,34.6,76.5,6.2,130.6,coffee,500003
43,52,71,26.8,73.2,5.7,149.2,coffee,500001
124,61,30,23.5,86.6,6.8,132.1,rice,500003
77,63,68,31.5,70.5,6.5,137.3,rice,500001
44,43,27,22.6,63.5,7.0,157.0,rice,500001
101,34,55,25.5,64.3,6.5,134.7,rice,500001
107,51,57,19.3,82.8,7.2,279.4,coffee,500002
116,51,59,18.4,78.5,6.6,116.0,coffee,500001
91,43,39,34.4,63.0,6.6,204.9,maize,500001
69,60,54,32.2,62.5,7.3,182.1,maize,500002
114,68,67,29.8,81.0,6.3,296.5,rice,500001
109,68,44,25.0,62.2,5.8,122.4,sugarcane,500003
111,31,54,20.9,84.7,5.6,179.6,sugarcane,500003
82,58,44,20.7,81.2,7.0,293.9,coffee,500001
53,21,48,22.3,62.4,6.7,273.1,coffee,500002
55,22,37,27.3,62.5,6.9,263.4,coffee,500003
118,68,65,30.1,89.6,5.9,151.6,maize,500002
89,56,37,29.2,71.2,5.8,134.2,maize,500002
70,68,21,22.8,71.1,5.5,233.7,coffee,500003
58,36,73,34.2,84.4,6.2,285.9,coffee,500002
44,68,54,30.5,88.4,6.7,211.4,coffee,500003
74,21,35,27.4,89.6,6.3,214.3,sugarcane,500002
94,21,60,28.4,82.6,6.4,156.0,maize,500003
118,47,55,25.1,71.3,7.3,253.9,sugarcane,500001
100,42,52,22.2,62.5,6.2,137.4,sugarcane,500003
38,56,23,24.1,83.3,6.5,164.7,coffee,500003
117,51,52,30.9,76.8,7.1,185.1,coffee,500003
30,52,33,18.2,72.7,6.3,201.5,rice,500003
37,20,40,20.0,87.2,6.7,148.5,rice,500002
117,38,67,18.8,63.3,7.2,123.0,sugarcane,500001
92,21,39,18.7,74.8,7.4,222.1,maize,500003
40,63,75,32.5,60.3,5.8,157.7,coffee,500002
110,45,27,30.0,74.1,7.4,216.2,coffee,500001
37,51,26,26.1,61.7,6.5,130.9,sugarcane,500001
64,25,22,19.7,63.6,6.0,196.2,rice,500001
